date,holiday,holiday_type
2020-02-18,Swami Dayananda Saraswati Jayanti (R),Restricted
2020-02-19,Shivaji Jayanti (R),Restricted
2020-02-21,Maha Shivaratri (R),Restricted
2020-03-09,Holika Dahan/Dolyatra/Hazarat Ali's Birthday (R),Restricted
2020-03-10,Holi,Gazetted
2020-03-25,Chaitra Sukladi/Gudi Padava/Ugadi/Cheti Chand (R),Restricted
2020-04-02,Ram Navami,Gazetted
2020-04-06,Mahavir Jayanti,Gazetted
2020-04-10,Good Friday,Gazetted
2020-04-12,Easter Sunday (R),Restricted
2020-04-13,Vaisakhi/Vishu (R),Restricted
2020-04-14,Mesadi/Vaisakhadi (Bengal)/Bahag Bihu (Assam) (R),Restricted
2020-05-07,Buddha Purnima,Gazetted
2020-05-08,Guru Rabindranath's Birthday (R),Restricted
2020-05-22,Jamat-Ul-Vida (R),Restricted
2020-05-25,Id-ul- Fitr,Gazetted
2020-06-23,Rath Yatra (R),Restricted
2020-08-01,Id-ul-Zuha (Bakrid),Gazetted
2020-08-03,Raksha Bandhan (R),Restricted
2020-08-11,Janmashtami (Smarta) (R),Restricted
2020-08-12,Janmashtami,Gazetted
2020-08-15,Independence day,Gazetted
2020-08-16,Parsi New Year's day/ Nauraj (R),Restricted
2020-08-22,Vinayaka Chaturthi/Ganesh Chaturthi (R),Restricted
2020-08-30,Muharram,Gazetted
2020-08-31,Onam or Thiru Onam Day (R),Restricted
2020-10-02,Mahatma Gandhi's Birthday,Gazetted
2020-10-23,Dussehra (Maha Saptami) (Additional) (R),Restricted
2020-10-24,Dussehra (Maha Ashtami) (Maha Navmi) (Additional) (R),Restricted
2020-10-25,Dussehra,Gazetted
2020-10-26,"Vijay Dashmi (Bengal, Kerala) (R)",Restricted
2020-10-30,Milad-un-Nabi or Id-e-Milad (Birthday of Prophet Mohammad),Gazetted
2020-10-31,Maharishi Valmiki's Birthday (R),Restricted
2020-11-04,Karaka Chaturthi (Karva Chouth) (R),Restricted
2020-11-14,Naraka Chaturdasi (R),Restricted
2020-11-15,Govardhan Puja (R),Restricted
2020-11-16,Bhai Duj (R),Restricted
2020-11-20,Pratihar Sashthi or Surya Sashthi (Chhat Puja) (R),Restricted
2020-11-24,Guru Teg Bahadur's Martyrdom Day (R),Restricted
2020-11-30,Guru Nanak's Birthday,Gazetted
2020-12-24,Christmas Eve (R),Restricted
2020-12-25,Christmas Day,Gazetted
2021-01-01,New Year's Day (R),Restricted
2021-01-13,Lohri (R),Restricted
2021-01-14,Makar Sankranti/Pongal (R),Restricted
2021-01-20,Guru Gobind Singh's Birthday (R),Restricted
2021-01-26,Republic Day,Gazetted
2021-02-16,Basant Panchami / Sri Panchami (R),Restricted
2021-02-19,Shivaji Jayanti (R),Restricted
2021-02-26,Hazarat Ali's Birthday (R),Restricted
2021-02-27,Guru Ravidas's Birthday (R),Restricted
2021-03-08,Swami Dayananda Saraswati Jayanti (R),Restricted
2021-03-11,Maha Shivaratri (R),Restricted
2021-03-28,Holika Dahan/Dolyatra (R),Restricted
2021-03-29,Holi,Gazetted
2021-04-02,Good Friday,Gazetted
2021-04-04,Easter Sunday (R),Restricted
2021-04-13,Chaitra Sukladi/ Gudi Padava/ Ugadi/Cheti Chand/ Vaisakhi/ Vishu (R),Restricted
2021-04-14,Mesadi Tamil New Year's Day (R),Restricted
2021-04-15,Vaisakhadi (Bengal)/ Bahag Bihu (Assam) (R),Restricted
2021-04-21,Ram Navami,Gazetted
2021-04-25,Mahavir Jayanti,Gazetted
2021-05-07,Jamat-Ul-Vida (R),Restricted
2021-05-09,Guru Rabindranath's Birthday (R),Restricted
2021-05-14,Id-ul- Fitr,Gazetted
2021-05-26,Buddha Purnima,Gazetted
2021-07-12,Rath Yatra (R),Restricted
2021-07-21,Id-ul-Zuha (Bakrid),Gazetted
2021-08-15,Independence day,Gazetted
2021-08-16,Parsi New Year's day/ Nauraj (R),Restricted
2021-08-19,Muharram,Gazetted
2021-08-21,Onam or Thiru Onam Day (R),Restricted
2021-08-22,Raksha Bandhan (R),Restricted
2021-08-30,Janmashtami (Smarta) (R),Restricted
2021-09-10,Vinayaka Chaturthi/ Ganesh Chaturthi (R),Restricted
2021-10-02,Mahatma Gandhi's Birthday,Gazetted
2021-10-12,Dussehra (Maha Saptami) (R),Restricted
2021-10-13,Dussehra (Maha Ashtami) (R),Restricted
2021-10-14,Dussehra (Maha Navmi) (R),Restricted
2021-10-15,Dussehra,Gazetted
