State,Date,Hourly Demand Met (in MW)
Delhi - 2017,06-Jan 3pm,2812.79
Delhi - 2017,06-Jan 4pm,2828.60
Delhi - 2017,06-Jan 5pm,3013.45
Delhi - 2017,06-Jan 6pm,3232.67
Delhi - 2017,06-Jan 7pm,3137.99
Delhi - 2017,06-Jan 8pm,2927.16
Delhi - 2017,06-Jan 9pm,2613.35
Delhi - 2017,06-Jan 10pm,2286.67
Delhi - 2017,06-Jan 11pm,1919.76
Delhi - 2017,07-Jan 12am,1665.24
Delhi - 2017,07-Jan 1am,1539.65
Delhi - 2017,07-Jan 2am,1466.65
Delhi - 2017,07-Jan 3am,1429.45
Delhi - 2017,07-Jan 4am,1375.07
Delhi - 2017,07-Jan 5am,1481.86
Delhi - 2017,07-Jan 6am,1876.94
Delhi - 2017,07-Jan 7am,2347.85
Delhi - 2017,07-Jan 8am,2893.53
Delhi - 2017,07-Jan 9am,3173.69
Delhi - 2017,07-Jan 10am,3377.86
Delhi - 2017,07-Jan 11am,3369.29
Delhi - 2017,07-Jan 12pm,3228.58
Delhi - 2017,07-Jan 1pm,2907.24
Delhi - 2017,07-Jan 2pm,2816.47
Delhi - 2017,07-Jan 3pm,2748.56
Delhi - 2017,07-Jan 4pm,2715.81
Delhi - 2017,07-Jan 5pm,2831.22
Delhi - 2017,07-Jan 6pm,3092.02
Delhi - 2017,07-Jan 7pm,3007.75
Delhi - 2017,07-Jan 8pm,2839.96
Delhi - 2017,07-Jan 9pm,2591.63
Delhi - 2017,07-Jan 10pm,2339.66
Delhi - 2017,07-Jan 11pm,1990.90
Delhi - 2017,08-Jan 12am,1695.28
Delhi - 2017,08-Jan 1am,1502.94
Delhi - 2017,08-Jan 2am,1427.26
Delhi - 2017,08-Jan 3am,1397.43
Delhi - 2017,08-Jan 4am,1431.67
Delhi - 2017,08-Jan 5am,1635.84
Delhi - 2017,08-Jan 6am,1934.79
Delhi - 2017,08-Jan 7am,2509.30
Delhi - 2017,08-Jan 8am,3009.31
Delhi - 2017,08-Jan 9am,3272.37
Delhi - 2017,08-Jan 10am,3588.27
Delhi - 2017,08-Jan 11am,3535.93
Delhi - 2017,08-Jan 12pm,3365.68
Delhi - 2017,08-Jan 1pm,2941.12
Delhi - 2017,08-Jan 2pm,2791.06
