State,Date,Hourly Demand Met (in MW)
Delhi - 2018,01-Jan 12am,1779.75
Delhi - 2018,01-Jan 1am,1583.84
Delhi - 2018,01-Jan 2am,1484.88
Delhi - 2018,01-Jan 3am,1431.54
Delhi - 2018,01-Jan 4am,1469.44
Delhi - 2018,01-Jan 5am,1721.20
Delhi - 2018,01-Jan 6am,2183.23
Delhi - 2018,01-Jan 7am,2891.89
Delhi - 2018,01-Jan 8am,3353.50
Delhi - 2018,01-Jan 9am,3704.10
Delhi - 2018,01-Jan 10am,3978.44
Delhi - 2018,01-Jan 11am,3898.75
Delhi - 2018,01-Jan 12pm,3679.22
Delhi - 2018,01-Jan 1pm,3245.79
Delhi - 2018,01-Jan 2pm,3047.36
Delhi - 2018,01-Jan 3pm,2880.16
Delhi - 2018,01-Jan 4pm,2831.25
Delhi - 2018,01-Jan 5pm,2935.34
Delhi - 2018,01-Jan 6pm,3106.82
Delhi - 2018,01-Jan 7pm,3049.34
Delhi - 2018,01-Jan 8pm,2858.65
Delhi - 2018,01-Jan 9pm,2656.24
Delhi - 2018,01-Jan 10pm,2380.56
Delhi - 2018,01-Jan 11pm,2026.28
Delhi - 2018,02-Jan 12am,1728.88
Delhi - 2018,02-Jan 1am,1550.62
Delhi - 2018,02-Jan 2am,1474.77
Delhi - 2018,02-Jan 3am,1431.73
Delhi - 2018,02-Jan 4am,1480.74
Delhi - 2018,02-Jan 5am,1741.08
Delhi - 2018,02-Jan 6am,2312.91
Delhi - 2018,02-Jan 7am,2991.55
Delhi - 2018,02-Jan 8am,3531.56
Delhi - 2018,02-Jan 9am,3784.45
Delhi - 2018,02-Jan 10am,3960.79
Delhi - 2018,02-Jan 11am,3702.94
Delhi - 2018,02-Jan 12pm,3520.73
Delhi - 2018,02-Jan 1pm,3214.24
Delhi - 2018,02-Jan 2pm,3119.50
Delhi - 2018,02-Jan 3pm,3028.52
Delhi - 2018,02-Jan 4pm,3005.71
Delhi - 2018,02-Jan 5pm,3148.45
Delhi - 2018,02-Jan 6pm,3395.68
Delhi - 2018,02-Jan 7pm,3332.00
Delhi - 2018,02-Jan 8pm,3078.23
Delhi - 2018,02-Jan 9pm,2826.01
Delhi - 2018,02-Jan 10pm,2550.73
Delhi - 2018,02-Jan 11pm,2153.99
Delhi - 2018,03-Jan 12am,1836.05
Delhi - 2018,03-Jan 1am,1640.73
Delhi - 2018,03-Jan 2am,1525.94
Delhi - 2018,03-Jan 3am,1496.67
Delhi - 2018,03-Jan 4am,1552.43
Delhi - 2018,03-Jan 5am,1793.90
Delhi - 2018,03-Jan 6am,2367.49
Delhi - 2018,03-Jan 7am,3050.67
Delhi - 2018,03-Jan 8am,3698.49
Delhi - 2018,03-Jan 9am,3953.75
Delhi - 2018,03-Jan 10am,4152.41
Delhi - 2018,03-Jan 11am,4034.13
Delhi - 2018,03-Jan 12pm,3763.41
Delhi - 2018,03-Jan 1pm,3314.85
Delhi - 2018,03-Jan 2pm,3193.22
Delhi - 2018,03-Jan 3pm,3081.29
Delhi - 2018,03-Jan 4pm,3042.00
Delhi - 2018,03-Jan 5pm,3227.35
Delhi - 2018,03-Jan 6pm,3460.90
Delhi - 2018,03-Jan 7pm,3405.66
Delhi - 2018,03-Jan 8pm,3206.02
Delhi - 2018,03-Jan 9pm,2902.69
Delhi - 2018,03-Jan 10pm,2603.09
Delhi - 2018,03-Jan 11pm,2194.90
Delhi - 2018,04-Jan 12am,1825.80
Delhi - 2018,04-Jan 1am,1600.81
Delhi - 2018,04-Jan 2am,1504.29
Delhi - 2018,04-Jan 3am,1465.59
Delhi - 2018,04-Jan 4am,1518.00
Delhi - 2018,04-Jan 5am,1766.18
Delhi - 2018,04-Jan 6am,2329.09
