State,Date,Hourly Demand Met (in MW)
Delhi - 2019,01-Jan 12am,1988.87
Delhi - 2019,01-Jan 1am,1763.47
Delhi - 2019,01-Jan 2am,1645.27
Delhi - 2019,01-Jan 3am,1588.03
Delhi - 2019,01-Jan 4am,1626.39
Delhi - 2019,01-Jan 5am,1903.59
Delhi - 2019,01-Jan 6am,2482.02
Delhi - 2019,01-Jan 7am,3227.70
Delhi - 2019,01-Jan 8am,3803.06
Delhi - 2019,01-Jan 9am,4105.69
Delhi - 2019,01-Jan 10am,4329.82
Delhi - 2019,01-Jan 11am,4219.89
Delhi - 2019,01-Jan 12pm,3914.03
Delhi - 2019,01-Jan 1pm,3393.74
Delhi - 2019,01-Jan 2pm,3206.07
Delhi - 2019,01-Jan 3pm,3036.62
Delhi - 2019,01-Jan 4pm,2959.74
Delhi - 2019,01-Jan 5pm,3045.34
Delhi - 2019,01-Jan 6pm,3278.97
Delhi - 2019,01-Jan 7pm,3174.80
Delhi - 2019,01-Jan 8pm,2962.98
Delhi - 2019,01-Jan 9pm,2809.06
Delhi - 2019,01-Jan 10pm,2552.16
Delhi - 2019,01-Jan 11pm,2140.06
Delhi - 2019,02-Jan 12am,1804.42
Delhi - 2019,02-Jan 1am,1611.44
Delhi - 2019,02-Jan 2am,1532.14
Delhi - 2019,02-Jan 3am,1493.92
Delhi - 2019,02-Jan 4am,1553.25
Delhi - 2019,02-Jan 5am,1827.96
Delhi - 2019,02-Jan 6am,2462.75
Delhi - 2019,02-Jan 7am,3183.85
Delhi - 2019,02-Jan 8am,3760.83
Delhi - 2019,02-Jan 9am,4023.07
Delhi - 2019,02-Jan 10am,4183.28
Delhi - 2019,02-Jan 11am,3995.22
Delhi - 2019,02-Jan 12pm,3732.25
Delhi - 2019,02-Jan 1pm,3308.43
Delhi - 2019,02-Jan 2pm,3196.62
Delhi - 2019,02-Jan 3pm,3085.82
Delhi - 2019,02-Jan 4pm,3025.02
Delhi - 2019,02-Jan 5pm,3208.21
Delhi - 2019,02-Jan 6pm,3508.12
Delhi - 2019,02-Jan 7pm,3395.84
Delhi - 2019,02-Jan 8pm,3151.55
Delhi - 2019,02-Jan 9pm,2891.89
Delhi - 2019,02-Jan 10pm,2620.87
Delhi - 2019,02-Jan 11pm,2216.66
Delhi - 2019,03-Jan 12am,1870.14
Delhi - 2019,03-Jan 1am,1666.19
Delhi - 2019,03-Jan 2am,1571.79
Delhi - 2019,03-Jan 3am,1533.39
Delhi - 2019,03-Jan 4am,1610.47
Delhi - 2019,03-Jan 5am,1890.71
Delhi - 2019,03-Jan 6am,2505.03
Delhi - 2019,03-Jan 7am,3344.09
Delhi - 2019,03-Jan 8am,3841.36
Delhi - 2019,03-Jan 9am,4058.25
Delhi - 2019,03-Jan 10am,4208.79
Delhi - 2019,03-Jan 11am,4021.95
Delhi - 2019,03-Jan 12pm,3767.91
Delhi - 2019,03-Jan 1pm,3330.54
Delhi - 2019,03-Jan 2pm,3241.46
Delhi - 2019,03-Jan 3pm,3161.69
Delhi - 2019,03-Jan 4pm,3071.43
Delhi - 2019,03-Jan 5pm,3331.20
Delhi - 2019,03-Jan 6pm,3587.20
Delhi - 2019,03-Jan 7pm,3488.30
Delhi - 2019,03-Jan 8pm,3144.00
Delhi - 2019,03-Jan 9pm,2954.03
Delhi - 2019,03-Jan 10pm,2678.00
Delhi - 2019,03-Jan 11pm,2223.73
Delhi - 2019,04-Jan 12am,2041.91
Delhi - 2019,04-Jan 1am,1892.87
Delhi - 2019,04-Jan 2am,1823.74
Delhi - 2019,04-Jan 3am,1793.30
Delhi - 2019,04-Jan 4am,1849.89
