State,Date,Hourly Demand Met (in MW)
Delhi - 2024,02-Jan 10pm,3116.00
Delhi - 2024,02-Jan 11pm,2585.41
Delhi - 2024,03-Jan 12am,2079.22
Delhi - 2024,03-Jan 1am,1805.21
Delhi - 2024,03-Jan 2am,1680.77
Delhi - 2024,03-Jan 3am,1633.47
Delhi - 2024,03-Jan 4am,1691.98
Delhi - 2024,03-Jan 5am,2004.52
Delhi - 2024,03-Jan 6am,2698.90
Delhi - 2024,03-Jan 7am,3594.85
Delhi - 2024,03-Jan 8am,4325.96
Delhi - 2024,03-Jan 9am,4747.86
Delhi - 2024,03-Jan 10am,5042.71
Delhi - 2024,03-Jan 11am,4984.46
Delhi - 2024,03-Jan 12pm,4697.15
Delhi - 2024,03-Jan 1pm,4229.67
Delhi - 2024,03-Jan 2pm,4114.29
Delhi - 2024,03-Jan 3pm,3951.46
Delhi - 2024,03-Jan 4pm,3909.54
Delhi - 2024,03-Jan 5pm,4039.51
Delhi - 2024,03-Jan 6pm,4169.48
Delhi - 2024,03-Jan 7pm,4061.08
Delhi - 2024,03-Jan 8pm,3822.59
Delhi - 2024,03-Jan 9pm,3582.09
Delhi - 2024,03-Jan 10pm,3259.55
Delhi - 2024,03-Jan 11pm,2710.71
Delhi - 2024,04-Jan 12am,2213.41
Delhi - 2024,04-Jan 1am,1890.96
Delhi - 2024,04-Jan 2am,1730.31
Delhi - 2024,04-Jan 3am,1656.14
Delhi - 2024,04-Jan 4am,1713.67
Delhi - 2024,04-Jan 5am,2023.65
Delhi - 2024,04-Jan 6am,2760.95
Delhi - 2024,04-Jan 7am,3628.48
Delhi - 2024,04-Jan 8am,4312.32
Delhi - 2024,04-Jan 9am,4730.17
Delhi - 2024,04-Jan 10am,5028.97
Delhi - 2024,04-Jan 11am,5013.93
Delhi - 2024,04-Jan 12pm,4843.81
Delhi - 2024,04-Jan 1pm,4479.61
Delhi - 2024,04-Jan 2pm,4382.57
Delhi - 2024,04-Jan 3pm,4240.47
Delhi - 2024,04-Jan 4pm,4118.60
Delhi - 2024,04-Jan 5pm,4225.82
Delhi - 2024,04-Jan 6pm,4347.63
Delhi - 2024,04-Jan 7pm,4215.76
Delhi - 2024,04-Jan 8pm,3991.56
Delhi - 2024,04-Jan 9pm,3744.31
Delhi - 2024,04-Jan 10pm,3366.35
Delhi - 2024,04-Jan 11pm,2792.95
Delhi - 2024,05-Jan 12am,2254.08
Delhi - 2024,05-Jan 1am,1940.54
Delhi - 2024,05-Jan 2am,1779.34
Delhi - 2024,05-Jan 3am,1726.71
Delhi - 2024,05-Jan 4am,1804.67
Delhi - 2024,05-Jan 5am,2117.56
Delhi - 2024,05-Jan 6am,2838.50
Delhi - 2024,05-Jan 7am,3782.91
Delhi - 2024,05-Jan 8am,4558.16
Delhi - 2024,05-Jan 9am,5003.84
Delhi - 2024,05-Jan 10am,5271.03
Delhi - 2024,05-Jan 11am,5346.09
Delhi - 2024,05-Jan 12pm,5267.71
Delhi - 2024,05-Jan 1pm,4844.82
Delhi - 2024,05-Jan 2pm,4609.96
Delhi - 2024,05-Jan 3pm,4411.09
Delhi - 2024,05-Jan 4pm,4232.44
Delhi - 2024,05-Jan 5pm,4308.21
Delhi - 2024,05-Jan 6pm,4428.63
Delhi - 2024,05-Jan 7pm,4283.72
Delhi - 2024,05-Jan 8pm,4011.96
Delhi - 2024,05-Jan 9pm,3750.31
Delhi - 2024,05-Jan 10pm,3413.15
Delhi - 2024,05-Jan 11pm,2854.77
Delhi - 2024,06-Jan 12am,2349.21
Delhi - 2024,06-Jan 1am,2020.48
Delhi - 2024,06-Jan 2am,1849.73
Delhi - 2024,06-Jan 3am,1772.20
Delhi - 2024,06-Jan 4am,1838.10
Delhi - 2024,06-Jan 5am,2089.02
Delhi - 2024,06-Jan 6am,2710.29
Delhi - 2024,06-Jan 7am,3529.68
Delhi - 2024,06-Jan 8am,4214.08
Delhi - 2024,06-Jan 9am,4630.88
Delhi - 2024,06-Jan 10am,4989.41
Delhi - 2024,06-Jan 11am,4982.65
Delhi - 2024,06-Jan 12pm,4751.47
Delhi - 2024,06-Jan 1pm,4367.80
Delhi - 2024,06-Jan 2pm,4138.62
Delhi - 2024,06-Jan 3pm,3940.14
Delhi - 2024,06-Jan 4pm,3809.96
Delhi - 2024,06-Jan 5pm,3959.97
Delhi - 2024,06-Jan 6pm,4151.58
Delhi - 2024,06-Jan 7pm,4039.65
Delhi - 2024,06-Jan 8pm,3875.15
Delhi - 2024,06-Jan 9pm,3654.54
Delhi - 2024,06-Jan 10pm,3323.31
Delhi - 2024,06-Jan 11pm,2827.86
Delhi - 2024,07-Jan 12am,2304.33
Delhi - 2024,07-Jan 1am,1964.11
Delhi - 2024,07-Jan 2am,1793.06
Delhi - 2024,07-Jan 3am,1703.97
Delhi - 2024,07-Jan 4am,1734.64
Delhi - 2024,07-Jan 5am,1959.08
Delhi - 2024,07-Jan 6am,2447.55
Delhi - 2024,07-Jan 7am,3138.53
Delhi - 2024,07-Jan 8am,3855.75
Delhi - 2024,07-Jan 9am,4404.77
Delhi - 2024,07-Jan 10am,4943.72
Delhi - 2024,07-Jan 11am,4975.41
Delhi - 2024,07-Jan 12pm,4789.04
Delhi - 2024,07-Jan 1pm,4293.09
Delhi - 2024,07-Jan 2pm,3951.19
Delhi - 2024,07-Jan 3pm,3678.16
Delhi - 2024,07-Jan 4pm,3570.14
Delhi - 2024,07-Jan 5pm,3715.15
Delhi - 2024,07-Jan 6pm,3934.22
Delhi - 2024,07-Jan 7pm,3912.97
Delhi - 2024,07-Jan 8pm,3764.54
Delhi - 2024,07-Jan 9pm,3574.21
Delhi - 2024,07-Jan 10pm,3215.66
Delhi - 2024,07-Jan 11pm,2693.14
Delhi - 2024,08-Jan 12am,2202.01
Delhi - 2024,08-Jan 1am,1909.68
Delhi - 2024,08-Jan 2am,1741.39
Delhi - 2024,08-Jan 3am,1676.22
Delhi - 2024,08-Jan 4am,1764.70
Delhi - 2024,08-Jan 5am,2132.35
Delhi - 2024,08-Jan 6am,3016.21
Delhi - 2024,08-Jan 7am,3897.52
Delhi - 2024,08-Jan 8am,4497.63
Delhi - 2024,08-Jan 9am,4843.04
Delhi - 2024,08-Jan 10am,5098.74
Delhi - 2024,08-Jan 11am,5112.72
Delhi - 2024,08-Jan 12pm,4907.49
Delhi - 2024,08-Jan 1pm,4534.89
Delhi - 2024,08-Jan 2pm,4332.83
Delhi - 2024,08-Jan 3pm,4110.39
Delhi - 2024,08-Jan 4pm,3984.99
Delhi - 2024,08-Jan 5pm,4089.28
Delhi - 2024,08-Jan 6pm,4299.31
Delhi - 2024,08-Jan 7pm,4235.31
Delhi - 2024,08-Jan 8pm,4047.98
Delhi - 2024,08-Jan 9pm,3830.67
Delhi - 2024,08-Jan 10pm,3470.57
Delhi - 2024,08-Jan 11pm,2890.39
Delhi - 2024,09-Jan 12am,2335.52
Delhi - 2024,09-Jan 1am,2009.33
Delhi - 2024,09-Jan 2am,1863.08
Delhi - 2024,09-Jan 3am,1786.39
Delhi - 2024,09-Jan 4am,1852.25
Delhi - 2024,09-Jan 5am,2217.24
Delhi - 2024,09-Jan 6am,3067.65
Delhi - 2024,09-Jan 7am,3986.85
Delhi - 2024,09-Jan 8am,4573.63
Delhi - 2024,09-Jan 9am,4927.79
Delhi - 2024,09-Jan 10am,5242.11
Delhi - 2024,09-Jan 11am,5245.48
Delhi - 2024,09-Jan 12pm,5031.95
Delhi - 2024,09-Jan 1pm,4629.03
Delhi - 2024,09-Jan 2pm,4515.45
Delhi - 2024,09-Jan 3pm,4437.90
Delhi - 2024,09-Jan 4pm,4216.78
Delhi - 2024,09-Jan 5pm,4273.10
Delhi - 2024,09-Jan 6pm,4485.97
Delhi - 2024,09-Jan 7pm,4375.38
Delhi - 2024,09-Jan 8pm,4177.73
Delhi - 2024,09-Jan 9pm,4005.57
Delhi - 2024,09-Jan 10pm,3598.98
Delhi - 2024,09-Jan 11pm,2981.36
