State,Date,Hourly Demand Met (in MW)
Delhi - 2020,01-Jan 12am,2505.06
Delhi - 2020,01-Jan 1am,2172.85
Delhi - 2020,01-Jan 2am,1983.25
Delhi - 2020,01-Jan 3am,1890.03
Delhi - 2020,01-Jan 4am,1920.28
Delhi - 2020,01-Jan 5am,2181.97
Delhi - 2020,01-Jan 6am,2755.08
Delhi - 2020,01-Jan 7am,3588.54
Delhi - 2020,01-Jan 8am,4381.80
Delhi - 2020,01-Jan 9am,4822.47
Delhi - 2020,01-Jan 10am,5160.28
Delhi - 2020,01-Jan 11am,5224.87
Delhi - 2020,01-Jan 12pm,4857.01
Delhi - 2020,01-Jan 1pm,4292.97
Delhi - 2020,01-Jan 2pm,3970.16
Delhi - 2020,01-Jan 3pm,3725.80
Delhi - 2020,01-Jan 4pm,3627.57
Delhi - 2020,01-Jan 5pm,3744.04
Delhi - 2020,01-Jan 6pm,3946.03
Delhi - 2020,01-Jan 7pm,3774.07
Delhi - 2020,01-Jan 8pm,3609.56
Delhi - 2020,01-Jan 9pm,3509.17
Delhi - 2020,01-Jan 10pm,3218.44
Delhi - 2020,01-Jan 11pm,2732.89
Delhi - 2020,02-Jan 12am,2236.22
Delhi - 2020,02-Jan 1am,1934.55
Delhi - 2020,02-Jan 2am,1794.75
Delhi - 2020,02-Jan 3am,1744.88
Delhi - 2020,02-Jan 4am,1786.43
Delhi - 2020,02-Jan 5am,2046.26
Delhi - 2020,02-Jan 6am,2639.73
Delhi - 2020,02-Jan 7am,3495.37
Delhi - 2020,02-Jan 8am,4100.15
Delhi - 2020,02-Jan 9am,4425.06
Delhi - 2020,02-Jan 10am,4700.79
Delhi - 2020,02-Jan 11am,4587.83
Delhi - 2020,02-Jan 12pm,4320.09
Delhi - 2020,02-Jan 1pm,3854.83
Delhi - 2020,02-Jan 2pm,3728.22
Delhi - 2020,02-Jan 3pm,3645.34
Delhi - 2020,02-Jan 4pm,3631.50
Delhi - 2020,02-Jan 5pm,3773.07
Delhi - 2020,02-Jan 6pm,3959.06
Delhi - 2020,02-Jan 7pm,3819.18
Delhi - 2020,02-Jan 8pm,3642.91
Delhi - 2020,02-Jan 9pm,3437.59
Delhi - 2020,02-Jan 10pm,3118.15
Delhi - 2020,02-Jan 11pm,2625.17
Delhi - 2020,03-Jan 12am,2151.19
Delhi - 2020,03-Jan 1am,1872.24
Delhi - 2020,03-Jan 2am,1742.76
Delhi - 2020,03-Jan 3am,1677.05
Delhi - 2020,03-Jan 4am,1741.60
Delhi - 2020,03-Jan 5am,2015.91
Delhi - 2020,03-Jan 6am,2665.53
Delhi - 2020,03-Jan 7am,3563.25
Delhi - 2020,03-Jan 8am,4216.66
Delhi - 2020,03-Jan 9am,4555.21
Delhi - 2020,03-Jan 10am,4735.02
Delhi - 2020,03-Jan 11am,4587.51
Delhi - 2020,03-Jan 12pm,4337.99
Delhi - 2020,03-Jan 1pm,3803.02
Delhi - 2020,03-Jan 2pm,3584.54
Delhi - 2020,03-Jan 3pm,3412.38
Delhi - 2020,03-Jan 4pm,3366.40
Delhi - 2020,03-Jan 5pm,3556.61
Delhi - 2020,03-Jan 6pm,3795.72
Delhi - 2020,03-Jan 7pm,3721.05
Delhi - 2020,03-Jan 8pm,3486.17
Delhi - 2020,03-Jan 9pm,3242.35
Delhi - 2020,03-Jan 10pm,2984.88
Delhi - 2020,03-Jan 11pm,2526.83
Delhi - 2020,04-Jan 12am,2089.41
Delhi - 2020,04-Jan 1am,1841.38
Delhi - 2020,04-Jan 2am,1716.14
Delhi - 2020,04-Jan 3am,1662.11
Delhi - 2020,04-Jan 4am,1713.38
Delhi - 2020,04-Jan 5am,1970.79
Delhi - 2020,04-Jan 6am,2514.82
Delhi - 2020,04-Jan 7am,3290.15
Delhi - 2020,04-Jan 8am,3866.59
Delhi - 2020,04-Jan 9am,4114.17
Delhi - 2020,04-Jan 10am,4244.72
Delhi - 2020,04-Jan 11am,4109.99
Delhi - 2020,04-Jan 12pm,3908.88
Delhi - 2020,04-Jan 1pm,3430.73
Delhi - 2020,04-Jan 2pm,3270.58
Delhi - 2020,04-Jan 3pm,3164.96
Delhi - 2020,04-Jan 4pm,3089.77
Delhi - 2020,04-Jan 5pm,3253.03
Delhi - 2020,04-Jan 6pm,3532.20
Delhi - 2020,04-Jan 7pm,3439.96
Delhi - 2020,04-Jan 8pm,3285.84
Delhi - 2020,04-Jan 9pm,3061.07
Delhi - 2020,04-Jan 10pm,2807.75
Delhi - 2020,04-Jan 11pm,2386.90
Delhi - 2020,05-Jan 12am,1976.46
Delhi - 2020,05-Jan 1am,1747.21
Delhi - 2020,05-Jan 2am,1627.18
Delhi - 2020,05-Jan 3am,1573.04
Delhi - 2020,05-Jan 4am,1612.11
Delhi - 2020,05-Jan 5am,1823.15
Delhi - 2020,05-Jan 6am,2261.46
Delhi - 2020,05-Jan 7am,2937.46
Delhi - 2020,05-Jan 8am,3543.21
Delhi - 2020,05-Jan 9am,3933.21
Delhi - 2020,05-Jan 10am,4179.16
Delhi - 2020,05-Jan 11am,4167.51
Delhi - 2020,05-Jan 12pm,3970.80
Delhi - 2020,05-Jan 1pm,3474.03
Delhi - 2020,05-Jan 2pm,3282.55
Delhi - 2020,05-Jan 3pm,3126.82
Delhi - 2020,05-Jan 4pm,3053.68
Delhi - 2020,05-Jan 5pm,3188.59
Delhi - 2020,05-Jan 6pm,3414.97
Delhi - 2020,05-Jan 7pm,3369.28
Delhi - 2020,05-Jan 8pm,3220.53
Delhi - 2020,05-Jan 9pm,2998.20
Delhi - 2020,05-Jan 10pm,2701.52
Delhi - 2020,05-Jan 11pm,2299.54
Delhi - 2020,06-Jan 12am,1920.48
Delhi - 2020,06-Jan 1am,1696.92
Delhi - 2020,06-Jan 2am,1593.68
Delhi - 2020,06-Jan 3am,1554.74
Delhi - 2020,06-Jan 4am,1631.14
Delhi - 2020,06-Jan 5am,1934.98
Delhi - 2020,06-Jan 6am,2659.57
Delhi - 2020,06-Jan 7am,3454.48
Delhi - 2020,06-Jan 8am,3977.41
Delhi - 2020,06-Jan 9am,4196.82
Delhi - 2020,06-Jan 10am,4367.56
Delhi - 2020,06-Jan 11am,4357.64
Delhi - 2020,06-Jan 12pm,4138.75
