Date,Hour,Hourly Demand Met (in MW)
2017-01-01,0,1775.69
2017-01-01,1,1565.98
2017-01-01,2,1458.04
2017-01-01,3,1413.88
2017-01-01,4,1441.43
2017-01-01,5,1625.34
2017-01-01,6,2035.28
2017-01-01,7,2574.5
2017-01-01,8,3088.09
2017-01-01,9,3375.27
2017-01-01,10,3532.5
2017-01-01,11,3483.73
2017-01-01,12,3222.06
2017-01-01,13,2794.44
2017-01-01,14,2558.3
2017-01-01,15,2382.38
2017-01-01,16,2305.67
2017-01-01,17,2449.7
2017-01-01,18,2741.97
2017-01-01,19,2712.15
2017-01-01,20,2589.62
2017-01-01,21,2404.25
2017-01-01,22,2155.02
2017-01-01,23,1836.13
2017-01-02,0,1568.5
2017-01-02,1,1460.82
2017-01-02,2,1397.9
2017-01-02,3,1371.03
2017-01-02,4,1436.97
2017-01-02,5,1651.33
2017-01-02,6,2139.82
2017-01-02,7,2865.81
2017-01-02,8,3303.63
2017-01-02,9,3465.32
2017-01-02,10,3593.86
2017-01-02,11,3480.05
2017-01-02,12,3234.65
2017-01-02,13,2850.13
2017-01-02,14,2790.96
2017-01-02,15,2731.7
2017-01-02,16,2684.43
2017-01-02,17,2868.01
2017-01-02,18,3089.67
2017-01-02,19,3021.82
2017-01-02,20,2861.77
2017-01-02,21,2578.77
2017-01-02,22,2294.19
2017-01-02,23,1938.5
2017-01-03,0,1613.11
2017-01-03,1,1506.26
2017-01-03,2,1443.01
2017-01-03,3,1411.22
2017-01-03,4,1474.33
2017-01-03,5,1696.2
2017-01-03,6,2220.58
2017-01-03,7,2897.38
2017-01-03,8,3352.86
2017-01-03,9,3474.55
2017-01-03,10,3644.92
2017-01-03,11,3543.61
2017-01-03,12,3295.19
2017-01-03,13,2916.6
2017-01-03,14,2821.79
2017-01-03,15,2738.27
2017-01-03,16,2741.72
2017-01-03,17,2939.75
2017-01-03,18,3177.4
2017-01-03,19,3094.92
2017-01-03,20,2904.24
2017-01-03,21,2579.08
2017-01-03,22,2272.73
2017-01-03,23,1936.51
2017-01-04,0,1613.11
2017-01-04,1,1506.26
2017-01-04,2,1443.01
2017-01-04,3,1411.22
2017-01-04,4,1474.33
2017-01-04,5,1696.2
2017-01-04,6,2220.58
2017-01-04,7,2897.38
2017-01-04,8,3352.86
2017-01-04,9,3477.3
2017-01-04,10,3548.45
2017-01-04,11,3552.15
2017-01-04,12,3303.89
2017-01-04,13,2924.41
2017-01-04,14,2822.87
2017-01-04,15,2755.3
2017-01-04,16,2740.4
2017-01-04,17,2917.47
2017-01-04,18,3185
2017-01-04,19,3075.79
2017-01-04,20,2911.49
2017-01-04,21,2622.5
2017-01-04,22,2349.56
2017-01-04,23,1992.67
2017-01-05,0,1685.42
2017-01-05,1,1532.91
2017-01-05,2,1464.64
2017-01-05,3,1431.77
2017-01-05,4,1487.88
2017-01-05,5,1710.39
2017-01-05,6,2220.29
2017-01-05,7,2844.63
2017-01-05,8,3256.44
2017-01-05,9,3389.38
2017-01-05,10,3526.93
2017-01-05,11,3408.42
2017-01-05,12,3155.84
2017-01-05,13,2768.62
2017-01-05,14,2703.09
2017-01-05,15,2681.79
2017-01-05,16,2674.33
2017-01-05,17,2845.2
2017-01-05,18,3082.48
2017-01-05,19,3026.23
2017-01-05,20,2812.79
2017-01-05,21,2534.66
2017-01-05,22,2297.11
2017-01-05,23,1961
2017-01-06,0,1684.79
2017-01-06,1,1534.91
2017-01-06,2,1466.1
2017-01-06,3,1445.14
2017-01-06,4,1510.66
2017-01-06,5,1748.34
2017-01-06,6,2307.54
2017-01-06,7,2947.82
2017-01-06,8,3368.4
2017-01-06,9,3488.6
2017-01-06,10,3681.48
2017-01-06,11,3638.84
2017-01-06,12,3371.41
2017-01-06,13,2988.16
2017-01-06,14,2890.57
2017-01-06,15,2812.79
2017-01-06,16,2828.6
2017-01-06,17,3013.45
2017-01-06,18,3232.67
2017-01-06,19,3137.99
2017-01-06,20,2927.16
2017-01-06,21,2613.35
2017-01-06,22,2286.67
2017-01-06,23,1919.76
2017-01-07,0,1665.24
2017-01-07,1,1539.65
2017-01-07,2,1466.65
2017-01-07,3,1429.45
2017-01-07,4,1375.07
2017-01-07,5,1481.86
2017-01-07,6,1876.94
2017-01-07,7,2347.85
2017-01-07,8,2893.53
2017-01-07,9,3173.69
2017-01-07,10,3377.86
2017-01-07,11,3369.29
2017-01-07,12,3228.58
2017-01-07,13,2907.24
2017-01-07,14,2816.47
2017-01-07,15,2748.56
2017-01-07,16,2715.81
2017-01-07,17,2831.22
2017-01-07,18,3092.02
2017-01-07,19,3007.75
2017-01-07,20,2839.96
2017-01-07,21,2591.63
2017-01-07,22,2339.66
2017-01-07,23,1990.9
2017-01-08,0,1695.28
2017-01-08,1,1502.94
2017-01-08,2,1427.26
2017-01-08,3,1397.43
2017-01-08,4,1431.67
2017-01-08,5,1635.84
2017-01-08,6,1934.79
2017-01-08,7,2509.3
2017-01-08,8,3009.31
2017-01-08,9,3272.37
2017-01-08,10,3588.27
2017-01-08,11,3535.93
2017-01-08,12,3365.68
2017-01-08,13,2941.12
2017-01-08,14,2791.06
2017-01-08,15,2631.85
2017-01-08,16,2537.05
2017-01-08,17,2674
2017-01-08,18,2903.92
2017-01-08,19,2881.11
2017-01-08,20,2753.17
2017-01-08,21,2532.17
2017-01-08,22,2242.2
2017-01-08,23,1919.18
2017-01-09,0,1652.96
2017-01-09,1,1492.27
2017-01-09,2,1424.44
2017-01-09,3,1391.57
2017-01-09,4,1458.74
2017-01-09,5,1707.2
2017-01-09,6,2310.02
2017-01-09,7,3001.72
2017-01-09,8,3327.39
2017-01-09,9,3509.21
2017-01-09,10,3765.77
2017-01-09,11,3603.76
2017-01-09,12,3350.61
2017-01-09,13,2969.48
2017-01-09,14,2891.67
2017-01-09,15,2812.36
2017-01-09,16,2829.01
2017-01-09,17,2969.62
2017-01-09,18,3199.79
2017-01-09,19,3180.44
2017-01-09,20,2973.9
2017-01-09,21,2727.71
2017-01-09,22,2415.78
2017-01-09,23,2020.52
2017-01-10,0,1728.56
2017-01-10,1,1566.22
2017-01-10,2,1488.36
2017-01-10,3,1460.13
2017-01-10,4,1518.3
2017-01-10,5,1780.11
2017-01-10,6,2363.48
2017-01-10,7,3050.62
2017-01-10,8,3493.82
2017-01-10,9,3704.55
2017-01-10,10,3828.2
2017-01-10,11,3646.55
2017-01-10,12,3391.65
2017-01-10,13,2988.12
2017-01-10,14,2922.29
2017-01-10,15,2852.26
2017-01-10,16,2840.6
2017-01-10,17,3021.11
2017-01-10,18,3312.72
2017-01-10,19,3252.29
2017-01-10,20,3088.62
2017-01-10,21,2811.03
2017-01-10,22,2489.94
2017-01-10,23,2079.16
2017-01-11,0,1727.31
2017-01-11,1,1561.28
2017-01-11,2,1480.18
2017-01-11,3,1453.82
2017-01-11,4,1508.99
2017-01-11,5,1791.61
2017-01-11,6,2471.06
2017-01-11,7,3197.25
2017-01-11,8,3572.08
2017-01-11,9,3804
2017-01-11,10,3907.16
2017-01-11,11,3731.1
2017-01-11,12,3533.02
2017-01-11,13,3126.07
2017-01-11,14,3079.84
2017-01-11,15,3031.83
2017-01-11,16,2994.03
2017-01-11,17,3128.46
2017-01-11,18,3398.59
2017-01-11,19,3342.98
2017-01-11,20,3183.9
2017-01-11,21,2882.19
2017-01-11,22,2594.88
2017-01-11,23,2148.12
2017-01-12,0,1833.95
2017-01-12,1,1644.94
2017-01-12,2,1557.54
2017-01-12,3,1521.15
2017-01-12,4,1575.51
2017-01-12,5,1836.28
2017-01-12,6,2525.53
2017-01-12,7,3164.81
2017-01-12,8,3530.44
2017-01-12,9,3724.88
2017-01-12,10,3935.1
2017-01-12,11,3754.33
2017-01-12,12,3519.99
2017-01-12,13,3143.79
2017-01-12,14,3032.51
2017-01-12,15,3062.36
2017-01-12,16,3025.61
2017-01-12,17,3183.34
2017-01-12,18,3485.13
2017-01-12,19,3423.11
2017-01-12,20,3207.62
2017-01-12,21,2926.5
2017-01-12,22,2681.7
2017-01-12,23,2248.81
2017-01-13,0,1833.95
2017-01-13,1,1644.94
2017-01-13,2,1557.54
2017-01-13,3,1521.15
2017-01-13,4,1575.51
2017-01-13,5,1836.28
2017-01-13,6,2525.53
2017-01-13,7,3164.81
2017-01-13,8,3530.44
2017-01-13,9,3724.88
2017-01-13,10,3935.1
2017-01-13,11,3952.32
2017-01-13,12,3787.49
2017-01-13,13,3323.96
2017-01-13,14,3161.66
2017-01-13,15,3062.6
2017-01-13,16,3022.4
2017-01-13,17,3189.9
2017-01-13,18,3482.74
2017-01-13,19,3433.98
2017-01-13,20,3173.55
2017-01-13,21,2900.86
2017-01-13,22,2629.69
2017-01-13,23,2245.14
2017-01-14,0,1917.28
2017-01-14,1,1691.8
2017-01-14,2,1598.21
2017-01-14,3,1549.09
2017-01-14,4,1596.92
2017-01-14,5,1841.62
2017-01-14,6,2405.15
2017-01-14,7,3059.14
2017-01-14,8,3574.55
2017-01-14,9,3756.68
2017-01-14,10,3883.21
2017-01-14,11,3883.83
2017-01-14,12,3480.43
2017-01-14,13,3052.53
2017-01-14,14,2940.39
2017-01-14,15,2874.05
2017-01-14,16,2834.17
2017-01-14,17,2985.65
2017-01-14,18,3243.56
2017-01-14,19,3226.94
2017-01-14,20,3061.17
2017-01-14,21,2808.26
2017-01-14,22,2496.82
2017-01-14,23,2123.32
2017-01-15,0,1803.72
2017-01-15,1,1608.97
2017-01-15,2,1506.57
2017-01-15,3,1464.29
2017-01-15,4,1489.8
2017-01-15,5,1663.52
2017-01-15,6,2062.36
2017-01-15,7,2626.38
2017-01-15,8,3201.82
2017-01-15,9,3520.69
2017-01-15,10,3741.81
2017-01-15,11,3678.59
2017-01-15,12,3407.96
2017-01-15,13,2982.95
2017-01-15,14,2788.26
2017-01-15,15,2678.1
2017-01-15,16,2638.9
2017-01-15,17,2759.98
2017-01-15,18,3070.08
2017-01-15,19,3072.53
2017-01-15,20,2924.98
2017-01-15,21,2713.42
2017-01-15,22,2454.5
2017-01-15,23,2062.01
2017-01-16,0,1737.49
2017-01-16,1,1561.28
2017-01-16,2,1472.87
2017-01-16,3,1446.94
2017-01-16,4,1503.03
2017-01-16,5,1825.39
2017-01-16,6,2599.34
2017-01-16,7,3187.21
2017-01-16,8,3445.8
2017-01-16,9,3661.21
2017-01-16,10,3751.28
2017-01-16,11,3631.88
2017-01-16,12,3330.34
2017-01-16,13,3011.31
2017-01-16,14,2910.19
2017-01-16,15,2946.65
2017-01-16,16,2957.08
2017-01-16,17,3121.65
2017-01-16,18,3391.1
2017-01-16,19,3412.35
2017-01-16,20,3264.28
2017-01-16,21,2989.06
2017-01-16,22,2649.65
2017-01-16,23,2281.54
2017-01-17,0,1908.68
2017-01-17,1,1719.11
2017-01-17,2,1631.32
2017-01-17,3,1590.89
2017-01-17,4,1655.08
2017-01-17,5,1994.67
2017-01-17,6,2806.49
2017-01-17,7,3407.37
2017-01-17,8,3767.27
2017-01-17,9,3938.83
2017-01-17,10,4058.84
2017-01-17,11,3935.42
2017-01-17,12,3654.88
2017-01-17,13,3257.79
2017-01-17,14,3186.35
2017-01-17,15,3161.63
2017-01-17,16,3143.52
2017-01-17,17,3277.22
2017-01-17,18,3584.61
2017-01-17,19,3550.82
2017-01-17,20,3361.47
2017-01-17,21,3097.86
2017-01-17,22,2741.93
2017-01-17,23,2289.25
2017-01-18,0,1931.99
2017-01-18,1,1738.28
2017-01-18,2,1657.45
2017-01-18,3,1616.17
2017-01-18,4,1685.1
2017-01-18,5,2021.64
2017-01-18,6,2860.72
2017-01-18,7,3579.11
2017-01-18,8,3841.68
2017-01-18,9,3975.86
2017-01-18,10,4086.79
2017-01-18,11,3941.43
2017-01-18,12,3663.17
2017-01-18,13,3302.89
2017-01-18,14,3171.06
2017-01-18,15,3122.53
2017-01-18,16,3083.79
2017-01-18,17,3229.84
2017-01-18,18,3524.11
2017-01-18,19,3529.88
2017-01-18,20,3334.58
2017-01-18,21,3091.35
2017-01-18,22,2737.92
2017-01-18,23,2320.22
2017-01-19,0,1965.67
2017-01-19,1,1763.17
2017-01-19,2,1678.62
2017-01-19,3,1649.02
2017-01-19,4,1703.11
2017-01-19,5,2008.13
2017-01-19,6,2815.68
2017-01-19,7,3530.27
2017-01-19,8,3761.89
2017-01-19,9,3894.91
2017-01-19,10,4024.27
2017-01-19,11,3866.69
2017-01-19,12,3574.2
2017-01-19,13,3196.25
2017-01-19,14,3126.07
2017-01-19,15,3091.38
2017-01-19,16,3061.89
2017-01-19,17,3208.9
2017-01-19,18,3501.47
2017-01-19,19,3510.35
2017-01-19,20,3334.2
2017-01-19,21,3072.43
2017-01-19,22,2763.9
2017-01-19,23,2309.34
2017-01-20,0,1955.31
2017-01-20,1,1774.48
2017-01-20,2,1696.5
2017-01-20,3,1663.72
2017-01-20,4,1719.34
2017-01-20,5,2046.4
2017-01-20,6,2939.2
2017-01-20,7,3602.51
2017-01-20,8,3838.16
2017-01-20,9,3994.58
2017-01-20,10,4192.9
2017-01-20,11,4007.05
2017-01-20,12,3742.21
2017-01-20,13,3290.93
2017-01-20,14,3184.44
2017-01-20,15,3143.27
2017-01-20,16,3100.24
2017-01-20,17,3254.05
2017-01-20,18,3556.42
2017-01-20,19,3542.83
2017-01-20,20,3345.83
2017-01-20,21,3052.91
2017-01-20,22,2754.63
2017-01-20,23,2336.82
2017-01-21,0,1980.79
2017-01-21,1,1754.7
2017-01-21,2,1654.93
2017-01-21,3,1617.05
2017-01-21,4,1660.3
2017-01-21,5,1958.52
2017-01-21,6,2659.5
2017-01-21,7,3340.28
2017-01-21,8,3669
2017-01-21,9,3842.15
2017-01-21,10,3955.44
2017-01-21,11,3751.62
2017-01-21,12,3474.12
2017-01-21,13,3165.69
2017-01-21,14,3031.2
2017-01-21,15,2976.23
2017-01-21,16,2944.52
2017-01-21,17,3117.93
2017-01-21,18,3387.63
2017-01-21,19,3391.26
2017-01-21,20,3175.69
2017-01-21,21,2917.16
2017-01-21,22,2638.37
2017-01-21,23,2226.63
2017-01-22,0,1872.65
2017-01-22,1,1674.79
2017-01-22,2,1573.93
2017-01-22,3,1528.59
2017-01-22,4,1555.13
2017-01-22,5,1742
2017-01-22,6,2195.3
2017-01-22,7,2815.45
2017-01-22,8,3393.55
2017-01-22,9,3711.01
2017-01-22,10,3972.53
2017-01-22,11,3946.25
2017-01-22,12,3696.77
2017-01-22,13,3252.2
2017-01-22,14,2994.99
2017-01-22,15,2801.72
2017-01-22,16,2715.06
2017-01-22,17,2840.14
2017-01-22,18,3179.15
2017-01-22,19,3201.49
2017-01-22,20,3004.51
2017-01-22,21,2786.17
2017-01-22,22,2477.06
2017-01-22,23,2091.55
2017-01-23,0,1781.31
2017-01-23,1,1625.44
2017-01-23,2,1560.5
2017-01-23,3,1523.45
2017-01-23,4,1599.49
2017-01-23,5,1940.49
2017-01-23,6,2780.19
2017-01-23,7,3441.79
2017-01-23,8,3665.86
2017-01-23,9,3795.35
2017-01-23,10,3852.01
2017-01-23,11,3647.28
2017-01-23,12,3397
2017-01-23,13,3032.73
2017-01-23,14,2985.37
2017-01-23,15,2949.79
2017-01-23,16,2913.79
2017-01-23,17,3063.17
2017-01-23,18,3348.73
2017-01-23,19,3319.37
2017-01-23,20,3118.51
2017-01-23,21,2839.53
2017-01-23,22,2558.75
2017-01-23,23,2159.97
2017-01-24,0,1820.44
2017-01-24,1,1655.13
2017-01-24,2,1569.93
2017-01-24,3,1527.81
2017-01-24,4,1611.78
2017-01-24,5,1968.39
2017-01-24,6,2846.58
2017-01-24,7,3495.1
2017-01-24,8,3668.86
2017-01-24,9,3747.11
2017-01-24,10,3796.04
2017-01-24,11,3577.98
2017-01-24,12,3332.51
2017-01-24,13,2946.4
2017-01-24,14,2921.59
2017-01-24,15,2895.25
2017-01-24,16,2863.97
2017-01-24,17,3064.33
2017-01-24,18,3355.23
2017-01-24,19,3321.62
2017-01-24,20,3059.83
2017-01-24,21,2806.32
2017-01-24,22,2530.85
2017-01-24,23,2129.54
2017-01-25,0,1820.44
2017-01-25,1,1655.13
2017-01-25,2,1569.93
2017-01-25,3,1527.81
2017-01-25,4,1611.78
2017-01-25,5,1968.39
2017-01-25,6,2846.58
2017-01-25,7,3495.1
2017-01-25,8,3668.86
2017-01-25,9,3737.77
2017-01-25,10,3826.24
2017-01-25,11,3661.03
2017-01-25,12,3399.65
2017-01-25,13,3025.43
2017-01-25,14,2988.73
2017-01-25,15,2972.78
2017-01-25,16,2916.82
2017-01-25,17,3015.79
2017-01-25,18,3303.82
2017-01-25,19,3265.34
2017-01-25,20,3024.07
2017-01-25,21,2732.3
2017-01-25,22,2456.36
2017-01-25,23,2066.21
2017-01-26,0,1759.76
2017-01-26,1,1631.5
2017-01-26,2,1527.6
2017-01-26,3,1508.48
2017-01-26,4,1561.54
2017-01-26,5,1745.1
2017-01-26,6,2083.02
2017-01-26,7,2554.77
2017-01-26,8,2947.59
2017-01-26,9,3089.74
2017-01-26,10,3098.89
2017-01-26,11,2877.64
2017-01-26,12,2720.11
2017-01-26,13,2414.01
2017-01-26,14,2221.49
2017-01-26,15,2048.55
2017-01-26,16,2025.42
2017-01-26,17,2197.01
2017-01-26,18,2454.47
2017-01-26,19,2493.23
2017-01-26,20,2462.46
2017-01-26,21,2339.09
2017-01-26,22,2094.89
2017-01-26,23,1767.75
2017-01-27,0,1512.84
2017-01-27,1,1392.75
2017-01-27,2,1327.16
2017-01-27,3,1300.78
2017-01-27,4,1376.72
2017-01-27,5,1734.45
2017-01-27,6,2538.84
2017-01-27,7,3200.49
2017-01-27,8,3424.41
2017-01-27,9,3587.89
2017-01-27,10,3759.31
2017-01-27,11,3720.54
2017-01-27,12,3536.19
2017-01-27,13,3106.65
2017-01-27,14,3022.25
2017-01-27,15,2951.91
2017-01-27,16,2904.78
2017-01-27,17,2967.43
2017-01-27,18,3236.09
2017-01-27,19,3239.56
2017-01-27,20,3062.92
2017-01-27,21,2771.49
2017-01-27,22,2507.74
2017-01-27,23,2117.86
2017-01-28,0,1783.09
2017-01-28,1,1565.77
2017-01-28,2,1477.8
2017-01-28,3,1451.55
2017-01-28,4,1509.91
2017-01-28,5,1778.69
2017-01-28,6,2437.81
2017-01-28,7,3075.1
2017-01-28,8,3384.75
2017-01-28,9,3574.56
2017-01-28,10,3712.56
2017-01-28,11,3579.5
2017-01-28,12,3297.22
2017-01-28,13,2922.91
2017-01-28,14,2810.95
2017-01-28,15,2716.61
2017-01-28,16,2686.52
2017-01-28,17,2841.03
2017-01-28,18,3144.39
2017-01-28,19,3138.65
2017-01-28,20,2975.41
2017-01-28,21,2725.33
2017-01-28,22,2447.83
2017-01-28,23,2087.9
2017-01-29,0,1773.34
2017-01-29,1,1570.45
2017-01-29,2,1472.41
2017-01-29,3,1421.9
2017-01-29,4,1461.3
2017-01-29,5,1660.97
2017-01-29,6,2117.73
2017-01-29,7,2695.1
2017-01-29,8,3251.85
2017-01-29,9,3583.31
2017-01-29,10,3723.05
2017-01-29,11,3745.3
2017-01-29,12,3474.08
2017-01-29,13,3050.36
2017-01-29,14,2829.17
2017-01-29,15,2634.85
2017-01-29,16,2557.08
2017-01-29,17,2667.79
2017-01-29,18,2982.72
2017-01-29,19,3019.1
2017-01-29,20,2851.44
2017-01-29,21,2631.13
2017-01-29,22,2390.52
2017-01-29,23,2052.26
2017-01-30,0,1720.68
2017-01-30,1,1540.32
2017-01-30,2,1457.41
2017-01-30,3,1430.17
2017-01-30,4,1471.81
2017-01-30,5,1732.46
2017-01-30,6,2409.47
2017-01-30,7,3135.8
2017-01-30,8,3493.57
2017-01-30,9,3664.6
2017-01-30,10,3780.6
2017-01-30,11,3559.79
2017-01-30,12,3332.03
2017-01-30,13,2961.48
2017-01-30,14,2872.55
2017-01-30,15,2839.13
2017-01-30,16,2788.19
2017-01-30,17,2905.6
2017-01-30,18,3227.21
2017-01-30,19,3247.06
2017-01-30,20,3067.22
2017-01-30,21,2805.75
2017-01-30,22,2454.28
2017-01-30,23,2075.08
2017-01-31,0,1764.76
2017-01-31,1,1613.37
2017-01-31,2,1529.6
2017-01-31,3,1491.07
2017-01-31,4,1552.04
2017-01-31,5,1879.38
2017-01-31,6,2724.24
2017-01-31,7,3364.86
2017-01-31,8,3570.24
2017-01-31,9,3672.1
2017-01-31,10,3704.59
2017-01-31,11,3564.11
2017-01-31,12,3284.03
2017-01-31,13,2921.31
2017-01-31,14,2862.62
2017-01-31,15,2882.72
2017-01-31,16,2844.08
2017-01-31,17,2985.69
2017-01-31,18,3251.17
2017-01-31,19,3268.21
2017-01-31,20,3062.83
2017-01-31,21,2815.1
2017-01-31,22,2472.26
2017-01-31,23,2088.2
2017-02-01,0,1757.4
2017-02-01,1,1563.49
2017-02-01,2,1492.55
2017-02-01,3,1460
2017-02-01,4,1534.24
2017-02-01,5,1897.01
2017-02-01,6,2779.68
2017-02-01,7,3399.29
2017-02-01,8,3620.71
2017-02-01,9,3758.45
2017-02-01,10,3847.09
2017-02-01,11,3662.2
2017-02-01,12,3356.25
2017-02-01,13,2990.96
2017-02-01,14,2895.08
2017-02-01,15,2846.82
2017-02-01,16,2787.91
2017-02-01,17,2918.81
2017-02-01,18,3219.11
2017-02-01,19,3224.83
2017-02-01,20,3024.77
2017-02-01,21,2733.51
2017-02-01,22,2456.37
2017-02-01,23,2082.24
2017-02-02,0,1787.67
2017-02-02,1,1625.42
2017-02-02,2,1542.22
2017-02-02,3,1502.19
2017-02-02,4,1570.65
2017-02-02,5,1896.56
2017-02-02,6,2697.96
2017-02-02,7,3321.3
2017-02-02,8,3462.93
2017-02-02,9,3558.73
2017-02-02,10,3615.44
2017-02-02,11,3462.23
2017-02-02,12,3221.68
2017-02-02,13,2890.93
2017-02-02,14,2881.3
2017-02-02,15,2854.93
2017-02-02,16,2814.83
2017-02-02,17,2946.26
2017-02-02,18,3214.66
2017-02-02,19,3249.5
2017-02-02,20,3034.75
2017-02-02,21,2713.01
2017-02-02,22,2457.68
2017-02-02,23,2077.27
2017-02-03,0,1763.56
2017-02-03,1,1579.05
2017-02-03,2,1504.04
2017-02-03,3,1474.84
2017-02-03,4,1525.38
2017-02-03,5,1882.1
2017-02-03,6,2747.79
2017-02-03,7,3385.61
2017-02-03,8,3568.71
2017-02-03,9,3720.77
2017-02-03,10,3796.7
2017-02-03,11,3642.95
2017-02-03,12,3400.33
2017-02-03,13,2992.24
2017-02-03,14,2889.29
2017-02-03,15,2844.66
2017-02-03,16,2794.69
2017-02-03,17,2938.73
2017-02-03,18,3199.2
2017-02-03,19,3225.71
2017-02-03,20,2975.39
2017-02-03,21,2660.28
2017-02-03,22,2414.71
2017-02-03,23,2004.03
2017-02-04,0,1690.67
2017-02-04,1,1517
2017-02-04,2,1441.52
2017-02-04,3,1424.35
2017-02-04,4,1490.46
2017-02-04,5,1762.55
2017-02-04,6,2387.97
2017-02-04,7,3052.36
2017-02-04,8,3361.63
2017-02-04,9,3414.23
2017-02-04,10,3505.91
2017-02-04,11,3333.21
2017-02-04,12,3139.23
2017-02-04,13,2785.14
2017-02-04,14,2721.66
2017-02-04,15,2645.68
2017-02-04,16,2620.46
2017-02-04,17,2769.85
2017-02-04,18,3055.26
2017-02-04,19,3052.13
2017-02-04,20,2859.22
2017-02-04,21,2570.33
2017-02-04,22,2296.3
2017-02-04,23,1968.19
2017-02-05,0,1661.84
2017-02-05,1,1471.96
2017-02-05,2,1387.66
2017-02-05,3,1349.37
2017-02-05,4,1385.61
2017-02-05,5,1589.1
2017-02-05,6,2031.99
2017-02-05,7,2613.48
2017-02-05,8,3124.35
2017-02-05,9,3407.66
2017-02-05,10,3533.5
2017-02-05,11,3503.14
2017-02-05,12,3281.29
2017-02-05,13,2893.06
2017-02-05,14,2697.88
2017-02-05,15,2540.5
2017-02-05,16,2398.08
2017-02-05,17,2539.02
2017-02-05,18,2806.47
2017-02-05,19,2870.23
2017-02-05,20,2702.94
2017-02-05,21,2483.35
2017-02-05,22,2270.78
2017-02-05,23,1900.32
2017-02-06,0,1652.21
2017-02-06,1,1496.75
2017-02-06,2,1449.31
2017-02-06,3,1424.1
2017-02-06,4,1461.66
2017-02-06,5,1783.76
2017-02-06,6,2619.06
2017-02-06,7,3219.32
2017-02-06,8,3410.93
2017-02-06,9,3499.06
2017-02-06,10,3574.9
2017-02-06,11,3400.39
2017-02-06,12,3169.45
2017-02-06,13,2825.44
2017-02-06,14,2766.66
2017-02-06,15,2710.39
2017-02-06,16,2657.62
2017-02-06,17,2771.38
2017-02-06,18,3052.19
2017-02-06,19,3081.74
2017-02-06,20,2894.06
2017-02-06,21,2589.79
2017-02-06,22,2297.83
2017-02-06,23,1945.84
2017-02-07,0,1671.42
2017-02-07,1,1515.29
2017-02-07,2,1443.07
2017-02-07,3,1416.33
2017-02-07,4,1475.47
2017-02-07,5,1807.9
2017-02-07,6,2603.23
2017-02-07,7,3275.52
2017-02-07,8,3410.38
2017-02-07,9,3521.62
2017-02-07,10,3554.33
2017-02-07,11,3341.92
2017-02-07,12,3105.34
2017-02-07,13,2774.98
2017-02-07,14,2751.21
2017-02-07,15,2716.13
2017-02-07,16,2681.17
2017-02-07,17,2838.18
2017-02-07,18,3102.01
2017-02-07,19,3113.59
2017-02-07,20,2939.88
2017-02-07,21,2636.59
2017-02-07,22,2351.87
2017-02-07,23,1958.99
2017-02-08,0,1695.94
2017-02-08,1,1532.41
2017-02-08,2,1454.22
2017-02-08,3,1432.94
2017-02-08,4,1493.52
2017-02-08,5,1836.53
2017-02-08,6,2692.61
2017-02-08,7,3274.02
2017-02-08,8,3507.2
2017-02-08,9,3583.82
2017-02-08,10,3621.64
2017-02-08,11,3406.85
2017-02-08,12,3184.36
2017-02-08,13,2856.94
2017-02-08,14,2835.82
2017-02-08,15,2778.79
2017-02-08,16,2723.3
2017-02-08,17,2831.37
2017-02-08,18,3125.89
2017-02-08,19,3176.52
2017-02-08,20,2979.26
2017-02-08,21,2659.47
2017-02-08,22,2387.56
2017-02-08,23,2005.5
2017-02-09,0,1701.16
2017-02-09,1,1544.08
2017-02-09,2,1466.78
2017-02-09,3,1446.86
2017-02-09,4,1514.34
2017-02-09,5,1872.83
2017-02-09,6,2683.27
2017-02-09,7,3286.68
2017-02-09,8,3380.46
2017-02-09,9,3456.54
2017-02-09,10,3549.36
2017-02-09,11,3362.54
2017-02-09,12,3156.39
2017-02-09,13,2785.21
2017-02-09,14,2800.79
2017-02-09,15,2770.53
2017-02-09,16,2750.79
2017-02-09,17,2862.36
2017-02-09,18,3146.16
2017-02-09,19,3186.42
2017-02-09,20,2980.83
2017-02-09,21,2667.81
2017-02-09,22,2360.26
2017-02-09,23,1992.4
2017-02-10,0,1711.65
2017-02-10,1,1542.09
2017-02-10,2,1461.98
2017-02-10,3,1435.88
2017-02-10,4,1505.18
2017-02-10,5,1847.14
2017-02-10,6,2677.42
2017-02-10,7,3341.88
2017-02-10,8,3517.22
2017-02-10,9,3662.48
2017-02-10,10,3745.46
2017-02-10,11,3571.14
2017-02-10,12,3301.93
2017-02-10,13,2925.19
2017-02-10,14,2863.2
2017-02-10,15,2799.17
2017-02-10,16,2766.33
2017-02-10,17,2881.09
2017-02-10,18,3125.09
2017-02-10,19,3170.66
2017-02-10,20,2922.63
2017-02-10,21,2629.16
2017-02-10,22,2345.33
2017-02-10,23,1972.52
2017-02-11,0,1699.58
2017-02-11,1,1523.61
2017-02-11,2,1432.91
2017-02-11,3,1409.5
2017-02-11,4,1466.94
2017-02-11,5,1682.12
2017-02-11,6,2175.11
2017-02-11,7,2844.11
2017-02-11,8,3271.74
2017-02-11,9,3469.32
2017-02-11,10,3554.09
2017-02-11,11,3358.69
2017-02-11,12,3146.57
2017-02-11,13,2751.24
2017-02-11,14,2628.76
